"","X","Week","Team","Opponent","TeamELO","OppELO","ELODiff"
"307",307,1,"MIN","TEN",1580,1349,231
"172",172,2,"DET","TEN",1509,1349,160
"37",37,3,"BAL","JAX",1509,1379,130
"208",208,4,"HOU","TEN",1544,1349,195
"328",328,5,"NE","CLE",1626,1363,263
"482",482,6,"SEA","ATL",1638,1455,183
"109",109,7,"CIN","CLE",1570,1363,207
"382",382,8,"NYJ","CLE",1538,1363,175
"145",145,9,"DAL","CLE",1459,1363,96
"197",197,10,"GB","TEN",1592,1349,243
"232",232,11,"IND","TEN",1466,1349,117
"369",369,12,"NYG","CLE",1487,1363,124
"13",13,13,"ARI","WSH",1599,1447,152
"167",167,14,"DEN","TEN",1643,1349,294
"270",270,15,"KC","TEN",1604,1349,255
"84",84,16,"CAR","ATL",1640,1455,185
"442",442,17,"PIT","CLE",1635,1363,272
