"player","position","team","bye","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg0039","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","regTds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp","status","yahooId","fbgId","cbsId","foxId","fftId","birthdate","draftYear","mflId"
"Donnie Avery","WR","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,,,,,0,,0,"UFA",8810,"AverDo00",405833,3693,2889,"1984-06-12 01:00:00",2008,9040
"Andre Caldwell","WR","DET",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0915966386554622,,,,0,0.0305322128851541,0.854901960784314,,0,4.00316368638239,0,0,0,0,0,0,0.089958734525447,0,0,0,"ACT",8874,"CaldAn00",407741,3687,2900,"1985-04-15 01:00:00",2008,9050
"Fred Davis","TE","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,,,,,0,,0,"ACT",8825,"DaviFr01",504530,,,"1986-01-15 00:00:00",2008,9058
"Harry Douglas","WR","TEN",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321195144724557,1,0,0,0,0,0,0,0,0,0,0,0,1.55335714285714,,,,0,0.1235,19.5227877385772,,0,1.34938101788171,0,0,0,0,0,0,0,0,0,0,"ACT",8861,"DougHa00",436547,3696,2909,"1984-09-16 01:00:00",2008,9144
"Jerome Felton","RB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.046236559139785,0,0,0,0,0,0.869711090400746,,0,0,,,,0,0.0924731182795699,0,0.323655913978495,0,0,0,"ACT",8912,"FeltJe00",1249642,3727,,"1986-07-03 01:00:00",2008,9193
"Matt Forte","RB","NYJ",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,2.939,0,0,0,0,0.123357142857143,25.4632157316368,,0,0.224896836313618,,,,0.1,14.6641428571429,0.352071428571429,63.0227877385772,0,0,0,"ACT",8821,"FortMa00",559687,3750,2916,"1985-12-10 00:00:00",2008,9122
"Chad Henne","QB","JAC",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,,0.573202614379085,0.290009337068161,55.0503945845005,0.283193277310924,0.0305322128851541,0,4.07307142857143,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.173109243697479,0,0.605695611577965,0.224896836313618,0,0,"ACT",8834,"HennCh01",517291,3738,2923,"1985-07-02 01:00:00",2008,9073
"Chris Johnson","RB","ARI",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3075,1,0,0,0,0,0,0,0,0,0,0,0,0.536857142857143,0,0,0,0,0.0245714285714286,3.62810873337189,,0,1.12448418156809,,,,0,6.62235714285714,0.310179294389821,26.9244650086755,0,0,0,"UFA",8801,"JohnCh04",523490,3757,2932,"1985-09-23 01:00:00",2008,9078
"Josh Johnson","QB","NYG",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8937,"JohnJo05",1325808,3765,,"1986-05-15 01:00:00",2008,9207
"Darren McFadden","RB","DAL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06172839506173,,0,0,,,,0,0,0,17.6008230452675,0,0,0,"ACT",8781,"McFaDa00",565805,3778,2940,"1987-08-27 01:00:00",2008,9087
"Matt Ryan","QB","ATL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23734827264239,1,,,0.6,,38.9579285714286,25.8388571428571,66.3159582142857,13.1190714285714,0.957085020242915,1.2973973395026,279.490919606709,0,0,0,0,0,0,0,,0,0,0,0,0,0,1.97528571428571,0.0285714285714286,5.77472527472527,2.18514442916093,0,0,"ACT",8780,"RyanMa00",420095,3671,2955,"1985-05-17 01:00:00",2008,9099
"Jerome Simpson","WR","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8823,"SimpJe00",1272073,3755,2961,"1986-02-04 00:00:00",2008,9124
"Jacob Tamme","TE","ATL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.18028571428571,,,,0.1,0.100142857142857,32.8732793522267,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8916,"TammJa00",421946,3688,2970,"1985-03-15 01:00:00",2008,9176
"Matt Flynn","QB","NO",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0.0449793672627235,0.0449793672627235,100,0,0,0,0.224896836313618,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.0449793672627235,0,-0.0449793672627235,0,0,0,"UFA",8986,"FlynMa00",410711,3690,,"1985-06-20 01:00:00",2008,9254
"Joe Flacco","QB","BAL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206816059757236,1,,,0.7,,37.0858571428571,23.2634285714286,62.743728,13.8224285714286,0.977501445922499,1.66466165413534,269.098611914401,0,0,0,0,0,0,0,,0,0,0,0,0,0,1.70228571428571,0.119357142857143,3.8679005205321,1.84016506189821,0.1,0,"ACT",8795,"FlacJo00",1250697,3673,2913,"1985-01-16 00:00:00",2008,9064
"Steve Johnson","WR","SD",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",9001,"JohnSt00",1116922,3908,2935,"1986-07-22 01:00:00",2008,9269
"Jamaal Charles","RB","KC",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,"ACT",8850,"CharJa00",564952,3815,2902,"1986-12-27 00:00:00",2008,9054
"Justin Forsett","RB","BAL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,2.00128571428571,0,0,0,0,0.0468571428571429,13.0320994794679,,0,0,,,,0.1,12.5897142857143,0.328571428571429,58.1234817813765,0,0,0,"ACT",9010,"ForsJu00",520386,3760,2915,"1985-10-14 01:00:00",2008,9278
"Ray Rice","RB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,0,"CUT",8832,"RiceRa00",1243206,3810,2951,"1987-01-22 00:00:00",2008,9094
"Jonathan Stewart","RB","CAR",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1.1585,0,0,0,0,0.0531428571428572,8.83238866396761,,0,0,,,,0.1,15.2792142857143,0.514285714285714,64.9597455176402,0,0,0,"ACT",8790,"StewJo00",565654,3789,2967,"1987-03-21 01:00:00",2008,9101
"Jordy Nelson","WR","GB",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.30614285714286,,,,0.3,0.610815500289185,71.9746674378253,,0,1.48431911966988,0,0,0,0,0,0,0.402556818181818,0,0,0,"ACT",8813,"NelsJo00",417623,3694,2946,"1985-05-31 01:00:00",2008,9118
"Gary Barnidge","TE","CLE",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.24907142857143,,,,0.1,0.509947946790052,52.4755928282244,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8907,"BarnGa01",522814,3766,2890,"1985-09-22 01:00:00",2008,9189
"Martellus Bennett","TE","NE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.04407142857143,,,,0.1,0.270214285714286,39.0134759976865,,0,0.0449793672627235,0,0,0,0,0,0,0,0,0,0,"ACT",8838,"BennMa00",564954,3825,2892,"1987-03-10 01:00:00",2008,9044
"DeSean Jackson","WR","WAS",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626517273576097,1,0,0,0,0,0,0,0,0,0,0,0,4.00014285714286,,,,0.3,0.371285714285714,61.4982648930017,,0,0.629711141678129,0,0,0,0,0,0,0.123863636363636,0,0,0,"ACT",8826,"JackDe00",559554,3814,2930,"1986-12-01 00:00:00",2008,9075
"John Carlson","TE","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,,,,,0,,0,"ACT",8815,"CarlJo00",407903,3698,2901,"1984-05-12 01:00:00",2008,9052
"Eddie Royal","WR","CHI",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.88735714285714,,,,0.1,0.315268941584731,31.6016194331984,,0,12.3715268225585,0,0,0,0,0.0451303155006859,0,0.451335740072202,0,0,0,"ACT",8819,"RoyaEd00",516510,3718,2953,"1986-05-21 01:00:00",2008,9120
"Craig Stevens","TE","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8862,"StevCr00",421599,3653,,"1984-09-01 01:00:00",2008,9145
"Pierre Garcon","WR","WAS",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.75064285714286,,,,0.1,0.246857142857143,44.1672064777328,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8982,"GarcPi00",583087,3996,2918,"1986-08-08 01:00:00",2008,9250
"Danny Amendola","WR","NE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01428571428571,,,,0.1,0.0765,24.2091382301909,,0,9.49064649243466,0,0,0,0,0.209739368998628,0,0.882859848484849,0,0,0,"ACT",9037,"AmenDa00",516968,3732,11321,"1985-11-02 01:00:00",2008,9308
"Jed Collins","RB","FA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,0,"UFA",9098,"CollJe01",1616845,3763,,"1986-03-03 00:00:00",2008,9396
"Danny Woodhead","RB","SD",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069467787114846,1,0,0,0,0,0,0,0,0,0,0,0,4.54364285714286,0,0,0,0.1,0.411914401388086,40.4926547137073,,0,0.449793672627235,,,,0,7.7745,0.310179294389821,27.9615962984384,0,0,0,"ACT",9560,"WoodDa02",1616817,3926,11331,"1985-01-25 00:00:00",2008,9693
"Garrett Hartley","K","FA",,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"UFA",9222,"HartGa44",1615897,4733,,"1986-05-16 01:00:00",2008,9360
"Tim Hightower","RB","NO",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626517273576097,1,0,0,0,0,0,0,0,0,0,0,0,1.15257142857143,0,0,0,0,0,9.14904569115095,,0,3.14855570839065,,,,0,5.21457142857143,0.273714285714286,23.7030653556969,0,0,0,"ACT",8926,"HighTi00",1277423,4737,,"1986-05-23 01:00:00",2008,9196
"Marcel Reece","RB","OAK",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,"ACT",9158,"ReecMa00",1616792,3858,3222,"1985-06-23 01:00:00",2008,9802
"Matthew Slater","WR","NE",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.234664764621969,,0,0,0,0,0,0,0,0,0,0,0,0,"ACT",8930,"SlatMa00",1615610,3704,,"1985-09-09 01:00:00",2008,9200
