playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","22.4868","null","null","null","1","null","null","4.4523","null","null","null","24.4984","20.15","6.7322","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","18.0862","null","null","null","2","null","null","0.3918","null","null","null","19.1749","15.6383","4.1744","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.9828","null","null","null","3","null","null","0.7731","null","null","null","18.758","17.014","4.7542","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","null","17.4062","null","null","null","4","null","null","0.4141","null","null","null","20.2497","14.972","7.169","null",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","null","17.0131","null","null","null","5","null","null","0.0702","null","null","null","18.0919","15.33","5.4988","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","16.9711","null","null","null","6","null","null","0.0784","null","null","null","18.0625","14.84","4.0048","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","16.9147","null","null","null","7","null","null","0.0576","null","null","null","19.404","15.162","5.4053","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","16.8708","null","null","null","8","null","null","0.0291","null","null","null","19.0057","11.74","6.1155","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","16.8433","null","null","null","9","null","null","0.0274","null","null","null","18.6745","14.188","4.5208","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","null","16.8401","null","null","null","10","null","null","0.4641","null","null","null","20.0995","15.48","6.5337","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","null","16.7916","null","null","null","11","null","null","1.1609","null","null","null","18.9442","11.28","7.009","null",
"2543801","null","Jimmy Garoppolo","QB","NE","QB","NE","null","15.9604","null","null","null","12","null","null","0.7236","null","null","null","16.4751","14.3","6.3152","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","15.4279","null","null","null","1","null","null","2.1171","null","null","null","16.6372","14.312","3.776","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","15.301","null","null","null","13","null","null","0.1422","null","null","null","16.5383","13.65","5.4668","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","15.1726","null","null","null","14","null","null","0.2048","null","null","null","15.9268","13.256","6.6724","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","15.145","null","null","null","15","null","null","0.6344","null","null","null","16.5624","13.8458","6.0287","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","null","14.7904","null","null","null","16","null","null","0.705","null","null","null","15.7198","12.64","10.922","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","null","14.7313","null","null","null","1","null","null","1.1418","null","null","null","15.5108","12.64","2.908","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","null","14.4997","null","null","null","2","null","null","1.9222","null","null","null","18.0503","10.18","3.7992","null",
"2552033","null","Jameis Winston","QB","TB","QB","TB","null","14.2308","null","null","null","17","null","null","0.3517","null","null","null","15.5299","12.62","6.0757","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","null","14.2155","null","null","null","2","null","null","1.8474","null","null","null","14.8296","13.56","5.465","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","13.9401","null","null","null","18","null","null","0.2345","null","null","null","14.9879","12.7","5.2798","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","13.8181","null","null","null","19","null","null","0.2485","null","null","null","16.0445","9.72","7.5758","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","13.593","null","null","null","20","null","null","0.0524","null","null","null","14.6833","11.68","4.5836","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","null","13.5462","null","null","null","21","null","null","0.171","null","null","null","15.3403","10.93","6.3898","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","13.5348","null","null","null","22","null","null","0.5669","null","null","null","14.9017","12.6","5.0423","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","null","13.2156","null","null","null","23","null","null","0.5645","null","null","null","14.1941","11.26","5.1921","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","12.8906","null","null","null","1","null","null","0.4548","null","null","null","13.6365","9.15","1.9963","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","null","12.7201","null","null","null","24","null","null","0.2062","null","null","null","15.3237","8.58","8.6722","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","12.7026","null","null","null","2","null","null","0.7824","null","null","null","13.2675","8.2","9.1455","null",
"2552379","null","Jeremy Langford","RB","CHI","RB","CHI","null","12.6791","null","null","null","3","null","null","0.2393","null","null","null","17.2189","9.51","4.3366","null",
"2505076","null","Josh McCown","QB","CLE","QB","CLE","null","12.5821","null","null","null","25","null","null","0.2074","null","null","null","15.0474","9.006","5.4527","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","null","12.4758","null","null","null","4","null","null","0.0921","null","null","null","13.1505","9.2","4.1578","null",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","null","12.4457","null","null","null","26","null","null","0.1831","null","null","null","13.1731","10.94","5.2558","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","null","12.406","null","null","null","3","null","null","0.0777","null","null","null","14.2471","11.1738","5.5268","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","null","12.404","null","null","null","5","null","null","0.1089","null","null","null","13.8425","8.5","4.6085","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","12.3633","null","null","null","6","null","null","0.1507","null","null","null","13.5964","10.41","6.7923","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","12.3303","null","null","null","4","null","null","0.4179","null","null","null","13.6271","9.04","4.0888","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","12.3264","null","null","null","5","null","null","0.9475","null","null","null","12.7277","10","10.0985","null",
"2555260","null","Dak Prescott","QB","DAL","QB","DAL","null","12.3039","null","null","null","27","null","null","0.5583","null","null","null","14.1669","8.06","6.7093","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","null","12.2269","null","null","null","7","null","null","0.1265","null","null","null","13.3268","6.9","3.2899","null",
"2555259","null","Carson Wentz","QB","PHI","QB","PHI","null","12.2214","null","null","null","28","null","null","1.4133","null","null","null","14.1463","8.24","8.4747","null",
"2540204","null","Spencer Ware","RB","KC","RB","KC","null","12.1984","null","null","null","8","null","null","0.2069","null","null","null","13.3288","10.9955","4.0523","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","12.169","null","null","null","3","null","null","0.6092","null","null","null","12.1512","9.15","3.0495","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","12.0023","null","null","null","9","null","null","0.0562","null","null","null","14.1429","8.98","4.7965","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","null","11.9807","null","null","null","10","null","null","0.2169","null","null","null","15.3599","9.77","6.3018","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","null","11.9116","null","null","null","11","null","null","0.4031","null","null","null","13.7493","7.1","4.06","null",
